amenity:hospital,amenity:clinic,amenity:pharmacy,healthcare:doctor,healthcare:centre,amenity:dentist,amenity:nursing_home,building,amenity:school,amenity:place_of_worship,County
1,0,0,0,0,0,0,1696,2,0,Wajir
10,0,0,0,0,0,0,5526,18,5,Homa Bay
8,6,4,0,0,0,0,3597,34,20,Nairobi
7,2,5,0,0,1,0,2501,22,15,Kisumu
3,0,3,0,0,0,0,535,9,10,Mombasa
1,0,0,0,0,0,0,292,4,7,Embu
1,6,8,0,0,1,0,304,5,3,Kiambu
1,0,0,0,0,0,0,4240,1,0,Kisumu
1,0,0,0,0,0,0,2548,3,0,Kakamega
1,0,0,0,0,0,0,911,0,0,Kericho
3,0,2,0,0,0,0,859,16,16,Mombasa
0,0,0,0,0,0,0,12,0,0,Busia
0,0,0,0,0,0,0,285,2,3,Siaya
0,0,0,0,0,0,0,874,0,0,Nakuru
8,6,4,0,0,0,0,3710,36,24,Nairobi
10,7,19,0,0,0,0,7670,41,36,Kisumu
0,0,0,0,0,0,0,2657,1,0,Nakuru
0,0,0,0,0,0,0,901,1,0,Garissa
1,0,0,0,0,0,0,2358,0,0,Siaya
3,0,0,0,0,0,0,101,4,0,Kilifi
1,0,0,0,0,0,0,138,1,0,Samburu
5,3,3,0,0,0,0,1329,13,8,Baringo
0,0,0,0,0,0,0,0,0,0,Nandi
3,0,0,0,0,0,0,732,10,10,Machakos
0,0,0,0,0,0,0,0,0,0,Bungoma
3,3,0,0,0,0,0,1772,24,12,Mombasa
0,0,0,0,0,0,0,1710,1,0,Siaya
1,0,0,0,0,0,0,31,2,1,Kisii
17,7,4,0,0,1,0,7575,25,29,Nairobi
0,1,0,0,0,0,0,1076,4,0,Wajir
2,1,0,0,0,0,0,217,5,6,Bungoma
0,0,0,0,0,0,0,0,0,0,Garissa
0,0,0,0,0,0,0,2934,2,0,Busia
1,0,0,0,0,0,0,1108,2,1,Wajir
1,0,0,0,0,0,0,976,3,0,Kakamega
13,2,6,0,0,0,4,10176,11,12,Wajir
0,0,0,0,0,0,0,134,7,3,Kajiado
0,0,0,0,0,0,0,0,0,0,Marsabit
2,0,0,0,0,0,0,23,4,0,Samburu
1,0,0,0,0,0,0,374,12,5,Kiambu
4,0,3,0,0,0,0,1487,28,8,Laikipia
0,0,0,0,0,0,0,0,0,0,Elegeyo-Marakwet
0,0,0,0,0,0,0,0,0,0,Kericho
0,0,0,0,0,0,0,0,0,0,Baringo
0,0,0,0,0,0,0,0,2,2,West Pokot
0,0,0,0,0,0,0,0,3,0,Bungoma
0,0,0,0,0,0,0,772,0,0,Bomet
0,0,0,0,0,0,0,52,0,0,Nandi
1,0,0,0,0,0,0,90,0,0,Trans Nzoia
0,0,0,0,0,0,0,0,0,1,Elegeyo-Marakwet
1,0,0,0,0,0,0,73,1,0,Tharaka - Nithi
5,0,1,0,0,0,0,343,8,1,Kisii
1,0,0,0,0,0,0,2777,1,0,Tharaka - Nithi
1,0,0,0,0,0,0,2270,2,1,Tharaka - Nithi
1,0,0,0,0,0,0,1024,2,0,Kisumu
0,0,0,0,0,0,0,0,0,0,Bungoma
0,0,0,0,0,0,0,12,3,4,Kajiado
2,2,0,0,0,0,0,634,5,1,Mombasa
0,0,0,0,0,0,0,3327,3,1,Nairobi
2,0,0,0,0,0,0,380,0,2,Meru
0,0,0,0,0,0,0,62,0,0,Embu
1,0,0,0,0,0,0,1655,2,1,Nyeri
10,5,11,1,0,2,0,2216,15,16,Nairobi
2,0,0,0,0,0,0,117,0,0,Meru
0,0,0,0,0,0,0,1,3,2,Trans Nzoia
2,0,0,0,0,0,0,259,6,1,Kiambu
0,0,0,0,0,0,0,4755,0,0,Garissa
0,0,0,0,0,0,0,345,2,2,Wajir
0,0,0,0,0,0,0,0,0,0,Garissa
0,0,0,0,0,0,0,0,0,0,Taita Taveta
0,0,0,0,0,0,0,197,0,0,Laikipia
0,0,0,0,0,0,0,0,0,0,Siaya
0,3,1,0,0,0,0,1702,11,6,Kisumu
2,1,1,0,0,0,0,3731,4,9,Kiambu
1,0,0,0,0,0,0,2145,0,0,Nakuru
0,0,0,0,0,0,0,49,0,0,Nyamira
2,0,0,0,0,0,0,3992,7,5,Nakuru
9,2,0,0,0,0,0,2753,21,9,Baringo
6,0,0,0,0,1,0,572,5,7,Uasin Gishu
0,0,0,0,0,0,0,1160,2,3,Uasin Gishu
1,0,0,0,0,0,0,4002,0,0,Mandera
1,0,0,0,0,0,0,292,4,7,Embu
1,0,0,0,0,0,0,0,1,0,Vihiga
1,0,0,0,0,0,0,0,0,0,Trans Nzoia
0,0,0,0,0,0,0,62,1,0,Nyandarua
0,0,0,0,0,0,0,79,0,0,Nyamira
0,0,0,0,0,0,0,0,0,0,Kisii
0,0,0,0,0,0,0,35,0,0,Lamu
0,0,0,0,0,0,0,417,0,0,Nakuru
0,0,0,0,0,0,0,0,0,0,Kericho
0,0,0,0,0,0,0,54,0,0,Murang'A
1,0,0,0,0,0,0,1063,0,0,Isiolo
1,0,0,0,0,0,0,6346,5,6,Garissa
2,0,0,0,0,0,0,1571,4,1,Kiambu
5,3,1,0,0,1,0,2123,4,4,Nairobi
0,0,0,0,0,0,0,0,0,0,Kisii
9,0,2,0,0,0,0,992,6,3,Kisii
0,0,0,0,0,0,0,0,0,0,Meru
1,0,0,0,0,0,0,4913,3,0,Nakuru
1,0,0,0,0,0,0,2226,2,0,Kisumu
0,0,0,0,0,0,0,256,0,0,Meru
0,0,0,0,0,0,0,757,0,0,Murang'A
0,0,0,0,0,0,0,0,0,0,Nakuru
3,0,3,0,0,0,0,843,22,6,Laikipia
0,0,0,0,0,0,0,1204,1,4,Siaya
2,0,0,1,0,0,0,132,2,1,Kericho
