building,amenity,amenity:school,amenity:hospital,amenity:restaurant,amenity:cafe,shop,tourism,tourism:hotel,tourism:museum,leisure,leisure:park,historic,amenity:place_of_worship,County
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Embu
8195,435,118,10,3,1,66,1,0,0,41,0,0,27,Nairobi
1538,0,0,0,0,0,0,1,0,0,0,0,0,0,Kiambu
3833,3,2,0,0,0,1,2,0,0,1,0,0,0,Kajiado
19,0,0,0,0,0,0,0,0,0,1,0,0,0,Kajiado
4897,40,3,1,4,0,4,1,0,0,11,0,0,5,Nairobi
2710,626,13,3,91,16,111,72,47,5,46,13,13,18,Nairobi
3693,296,15,6,89,9,69,49,34,0,39,2,0,12,Nairobi
997,98,5,7,11,1,16,21,18,0,6,1,0,5,Uasin Gishu
1954,278,7,9,30,4,16,57,25,2,46,3,5,12,Nairobi
2848,67,4,0,1,0,14,2,1,0,7,3,0,11,Nairobi
2097,314,14,6,17,6,262,45,27,0,48,6,1,10,Kisumu
1551,44,5,0,12,1,13,5,2,0,9,2,0,6,Nairobi
105,0,0,0,0,0,0,0,0,0,0,0,0,0,Nairobi
390,156,10,5,21,5,44,35,24,0,21,2,3,14,Mombasa
2868,80,5,1,26,2,14,8,4,0,8,2,0,8,Nairobi
4,0,0,0,0,0,0,0,0,0,0,0,0,0,Nakuru
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nairobi
463,72,20,1,4,0,12,4,4,0,10,2,0,5,Kiambu
3327,14,3,0,5,0,1,2,0,0,3,1,0,1,Nairobi
1696,4,2,1,0,0,0,0,0,0,0,0,0,0,Wajir
2745,13,3,0,3,1,1,0,0,0,0,0,0,0,Nairobi
867,1,1,0,0,0,0,0,0,0,0,0,0,0,Nyeri
8111,203,144,1,3,0,3,2,0,0,6,0,0,5,Nairobi
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kitui
280,0,0,0,0,0,0,0,0,0,0,0,0,0,Makueni
2383,611,9,3,87,15,95,68,44,5,56,13,13,19,Nairobi
105,0,0,0,0,0,0,0,0,0,0,0,0,0,Garissa
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wajir
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Murang'A
795,0,0,0,0,0,0,0,0,0,0,0,0,0,Nyeri
1128,0,0,0,0,0,0,0,0,0,0,0,0,0,Siaya
1879,5,3,0,0,0,0,0,0,0,3,0,0,0,Kakamega
0,5,0,0,0,0,0,0,0,0,0,0,0,0,Busia
9700,66,11,0,7,2,11,2,2,0,2,1,0,5,Nairobi
8543,212,125,1,1,0,2,5,1,0,9,0,0,17,Nairobi
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kirinyaga
